timestamp,agent_id,status,last_heartbeat,messages_processed,errors_count,queue_size,average_processing_time_ms
2026-07-15T14:01:02.961740Z,alert@localhost,ready,2026-07-15T14:01:02.961740Z,2,0,0,2.566
2026-07-15T14:01:03.137732Z,resource@localhost,ready,2026-07-15T14:01:03.137732Z,33,0,0,2.761
2026-07-15T14:01:03.380868Z,supervisor@localhost,ready,2026-07-15T14:01:03.380868Z,693,0,0,1.961
2026-07-15T14:01:03.568843Z,maintenance@localhost,ready,2026-07-15T14:01:03.568843Z,17,0,0,13.668
2026-07-15T14:01:04.123919Z,rul@localhost,ready,2026-07-15T14:01:04.123919Z,18,0,0,359.118
2026-07-15T14:01:04.172455Z,diagnosis@localhost,ready,2026-07-15T14:01:04.172455Z,18,0,0,64.33
2026-07-15T14:01:04.179392Z,anomaly@localhost,ready,2026-07-15T14:01:04.179392Z,596,0,0,42.065
2026-07-15T14:01:04.417430Z,sensor@localhost,ready,2026-07-15T14:01:04.417430Z,0,0,0,0.0
2026-07-15T14:01:07.783554Z,historian@localhost,ready,2026-07-15T14:01:07.783554Z,1283,0,0,0.816
2026-07-15T14:01:07.964682Z,alert@localhost,ready,2026-07-15T14:01:07.964682Z,2,0,0,2.566
2026-07-15T14:01:08.145199Z,resource@localhost,ready,2026-07-15T14:01:08.145199Z,40,0,0,2.756
2026-07-15T14:01:08.366984Z,supervisor@localhost,ready,2026-07-15T14:01:08.366984Z,770,0,0,1.973
2026-07-15T14:01:08.575284Z,maintenance@localhost,ready,2026-07-15T14:01:08.575284Z,20,0,0,13.703
2026-07-15T14:01:08.798033Z,rul@localhost,ready,2026-07-15T14:01:08.798033Z,20,0,0,363.044
2026-07-15T14:01:08.971215Z,diagnosis@localhost,ready,2026-07-15T14:01:08.971215Z,20,0,0,63.897
2026-07-15T14:01:09.179518Z,anomaly@localhost,ready,2026-07-15T14:01:09.179518Z,670,0,0,42.071
2026-07-15T14:01:09.402126Z,sensor@localhost,ready,2026-07-15T14:01:09.402126Z,0,0,0,0.0
2026-07-15T14:01:12.735489Z,historian@localhost,ready,2026-07-15T14:01:12.735489Z,1436,0,0,0.837
2026-07-15T14:01:12.936482Z,alert@localhost,ready,2026-07-15T14:01:12.936482Z,2,0,0,2.566
2026-07-15T14:01:13.165644Z,resource@localhost,ready,2026-07-15T14:01:13.165644Z,44,0,0,2.762
